shipped_date,sku,channel,qty,revenue,COGS,MOQ_orders
2021-01-01,4YT2UF,AWH,432,16780.18,9374.4,41952
2021-01-01,51ZSU8,AWH,225,11724.3,5147.1,159750
2021-01-01,52BTEO,ADS,713,19954.02,13535.59,90988
2021-01-01,52BTEO,ADI,115,3218.39,,90988
2021-01-01,52BTEO,AWH,92,2574.71,469.48,90988
2021-01-01,52BTEO,FBA,92,2574.71,2111.26,90988
2021-01-01,58CEBZ,AWH,792,11076.91,6652.8,270006
2021-01-01,5BMTKB,ADS,57,2009.36,1276.8,9462
2021-01-01,5BMTKB,ADI,19,669.79,,9462
2021-01-01,5BMTKB,AWH,19,669.79,1968.4,9462
2021-01-01,5JT2J6,FBA,54,2191.64,1775.23,5976
2021-01-01,636Y8Y,AWH,22,584.89,338.8,9867
2021-01-01,67LPLP,AWH,260,100943.14,72128.0,1337496
2021-01-01,6G5HUS,ADS,76,3866.58,2234.4,9329
2021-01-01,6HSD4J,AWH,1078,52806.91,33806.08,377398
2021-01-01,6HZE4G,AWH,121,5168.39,2795.1,47058
2021-01-01,6HZE4G,ADS,88,3758.83,1909.6,47058
2021-01-01,6JRDWV,ADS,57,2393.2,1596.0,9880
2021-01-01,6RA0AE,AWH,112,9720.03,7056.0,54816
2021-01-01,6ZS8QG,AWH,51,16421.29,6704.46,17034
2021-01-01,6ZWDP6,AWH,255,29377.53,13780.2,146319
2021-01-01,73DZ92,ADS,136,6092.8,3718.51,49419
2021-01-01,73DZ92,AWH,17,761.6,427.21,49419
2021-01-01,7XL27C,AWH,306,55490.65,17564.4,61438
2021-01-01,7YC7M1,ADS,308,9223.37,4096.4,57156
2021-01-01,7YC7M1,AWH,66,1976.44,314.47,57156
2021-01-01,815SZ1,ADS,74,2366.22,1367.52,41736
2021-01-01,84K8NY,AWH,96,19007.52,6048.0,21072
2021-01-01,87Y9K0,ADS,54,906.44,604.8,12060
2021-01-01,8GZ501,AWH,51,784.69,357.0,2822
2021-01-01,8LCPHF,AWH,1365,53826.5,26985.87,193648
2021-01-01,8LZWMS,ADS,38,1595.47,1064.0,14763
2021-01-01,8RKQCC,ADS,154,14011.84,9055.2,50358
2021-01-01,8SH1DW,AWH,64,2418.3,1792.0,44688
2021-01-01,8SH1DW,ADS,48,1813.73,1233.12,44688
2021-01-01,93W8TS,ADS,126,11640.64,4674.6,45432
2021-01-01,93W8TS,ADI,18,1662.95,,45432
2021-01-01,94U25Q,ADS,54,2645.24,1852.2,6444
2021-01-01,9LPCPF,AWH,216,7254.58,4536.0,65988
2021-01-01,9O55HC,AWH,594,16598.74,8316.0,180576
2021-01-01,9VU695,AWH,170,3686.62,3001.18,133320
2021-01-01,9YP2R5,AWH,30,559.86,294.0,17250
2021-01-01,A1ZSVH,AWH,74,1552.96,616.42,66822
2021-01-01,A674SK,ADS,1140,23924.04,9256.8,3230
2021-01-01,A9WS0A,AWH,790,14942.06,13272.0,389154
2021-01-01,AG2ZNE,ADS,17,2141.76,1309.0,2601
2021-01-01,AJWJGT,AWH,96,8793.79,2553.6,35088
2021-01-01,AL67D0,FBM,19,1222.27,990.04,38874
2021-01-01,AULD,LAL,18,957.6,775.66,54
2021-01-01,B88A3K,AWH,80,1342.88,672.0,42390
2021-01-01,BCLS4F,AWH,560,42450.99,19992.0,47920
2021-01-01,BFTBBT,AWH,272,9896.99,6092.8,61744
2021-01-01,BHD5Y9,ADS,1190,94662.12,26489.4,265455
2021-01-01,BHD5Y9,ADI,85,6761.58,,265455
2021-01-01,BJ30D6,AWH,294,8227.88,4898.04,413168
2021-01-01,BPKDGF,FBM,38,2659.47,2154.17,18924
2021-01-01,C3KMT3,AWH,48,9944.93,2016.0,53784
2021-01-01,CPKIH7,ADS,36,756.0,375.48,5100
2021-01-01,CPKIH7,ADI,12,252.0,125.16,5100
2021-01-01,CTSY1Z,AWH,85,1664.81,927.25,8296
2021-01-01,CYU4FH,ADS,144,6652.8,4636.8,72288
2021-01-01,CYU4FH,ADI,16,739.2,,72288
2021-01-01,D3MC5W,FBM,19,1436.13,1163.27,21147
2021-01-01,DIHXP6,ADS,820,25244.52,11480.0,112422
2021-01-01,DW35SV,ADS,19,7129.07,3135.34,15789
2021-01-01,DYK69P,AWH,36,2418.7,2016.0,31752
2021-01-01,DYK69P,FBM,12,806.23,653.05,31752
2021-01-01,E1JSV3,AWH,370,9479.4,3703.7,40552
2021-01-01,E3HYLQ,AWH,420,9402.12,3822.0,2184
2021-01-01,EHS5ZZ,ADS,1275,49962.15,22758.75,108715
2021-01-01,EHS5ZZ,FBA,255,9992.43,8793.34,108715
2021-01-01,EHS5ZZ,ADI,85,3330.81,,108715
2021-01-01,EQ9KWS,ADS,36,4535.5,1073.52,9360
2021-01-01,ERG9J1,FBA,18,1196.75,969.37,10332
2021-01-01,EV6MLC,AWH,96,4030.66,2014.66,19936
2021-01-01,F1K8IX,AWH,455,10822.63,7128.03,54080
2021-01-01,F1K8IX,LAL,65,637.0,547.82,54080
2021-01-01,FJDJ6B,ADI,260,142280.82,77154.78,3407592
2021-01-01,FJDJ6B,AWH,738,20653.67,11881.8,3407592
2021-01-01,FQWWBN,ADS,38,2393.47,1542.8,8588
2021-01-01,FQWWBN,ADI,19,1196.73,,8588
2021-01-01,FYKGO9,AWH,78,10918.91,2928.74,17511
2021-01-01,G4SQOR,AWH,68,3711.85,2856.0,61880
2021-01-01,G6CZBK,FBA,36,755.5,627.06,144
2021-01-01,G7SY8H,ADS,80,2116.8,1680.0,2600
2021-01-01,G9ABSJ,AWH,578,13343.71,8812.19,47022
2021-01-01,GB47HY,FBA,19,797.73,646.16,5738
2021-01-01,GB97EY,ADS,34,4331.12,2140.57,17595
2021-01-01,GBCZER,FBA,114,13192.0,10685.52,8113
2021-01-01,GCKF,LAL,17,2142.0,1735.02,102
2021-01-01,GOL53F,AWH,792,29582.78,13305.6,54054
2021-01-01,GS9HRV,AWH,112,5226.14,1858.08,42720
2021-01-01,GS9HRV,ADS,32,1493.18,560.0,42720
2021-01-01,GSVC5Z,FBM,272,7616.0,6168.96,22672
2021-01-01,GSVC5Z,AWH,80,2240.0,1680.0,22672
2021-01-01,GTSQ2X,ADS,260,61000.0,31573.5,571857
2021-01-01,GTSQ2X,ADI,186,3773.2,349.8,571857
2021-01-01,GTSQ2X,AWH,186,3773.2,325.5,571857
2021-01-01,H1KOT5,ADS,402,16315.57,8858.47,96882
2021-01-01,H1KOT5,LAL,201,3939.6,3388.06,96882
2021-01-01,H1KOT5,ADI,67,2719.26,,96882
2021-01-01,H1QSM7,AWH,74,2423.2,1554.0,82362
2021-01-01,H2Z4ZZ,ADS,136,6281.3,3236.8,1938
2021-01-01,HF42M5,AWH,64,1925.5,1523.2,11280
2021-01-01,HHB8AA,FBM,372,8848.39,7609.62,36146
2021-01-01,HK1R6J,AWH,108,34774.49,15120.0,31878
2021-01-01,HK1R6J,ADS,36,11591.5,4284.0,31878
2021-01-01,HLC8AA,ADS,240,6716.64,6216.0,86760
2021-01-01,HLC8AA,ADI,60,1679.16,1670.76,86760
2021-01-01,HLC8AA,AWH,60,1679.16,,86760
2021-01-01,HNZ52S,AWH,140,4584.44,3528.0,58660
2021-01-01,HVARMV,AWH,1518,25481.15,16980.35,219384
2021-01-01,HZXTA4,AWH,68,9410.52,6083.28,23766
2021-01-01,HZXTA4,ADS,17,2352.63,1439.9,23766
2021-01-01,I2CVAA,AWH,120,4198.32,3276.0,159660
2021-01-01,I2CVAA,ADS,60,2099.16,1478.4,159660
2021-01-01,IHB8AA,AWH,186,5075.2,3906.0,63798
2021-01-01,IYK7WV,FBM,91,6241.33,5055.47,2847
2021-01-01,J06237,ADS,75,2503.2,840.0,180
2021-01-01,J4J2AC,ADS,12,1562.4,1006.15,3132
2021-01-01,J5J5C3,FBM,38,2819.07,2283.45,5358
2021-01-01,J6G0P0,FBA,95,1195.67,1064.15,12540
2021-01-01,JMZ3Z1,ADS,38,3191.47,2047.67,8322
2021-01-01,JQLOC6,ADI,112,3448.03,1696.58,160320
2021-01-01,JTXMAP,ADS,48,17782.46,4502.4,41920
2021-01-01,JV6C37,AWH,45,1501.92,598.5,82080
2021-01-01,JVMXK1,FBA,57,1882.48,1524.81,26334
2021-01-01,JWQX8S,FBA,54,1360.04,1101.64,13932
2021-01-01,K17SBR,AWH,240,41133.12,12969.6,26608
2021-01-01,K3KML2,ADS,300,5665.8,2255.4,82344
2021-01-01,K3KML2,ADI,36,679.9,90.22,82344
2021-01-01,K3KML2,AWH,24,453.26,90.22,82344
2021-01-01,KCPT4X,AWH,68,14279.05,4760.0,27897
2021-01-01,KCPT4X,ADS,51,10709.29,3570.0,27897
2021-01-01,KQQJGN,ADS,57,4547.8,2912.7,31521
2021-01-01,KQQJGN,ADI,19,1515.93,,31521
2021-01-01,KQQJGN,AWH,19,1515.93,1130.5,31521
2021-01-01,KR6KWK,ADS,16,592.26,370.94,18144
2021-01-01,KTW1ER,ADS,96,3237.7,1948.8,48528
2021-01-01,KVCUK1,ADS,1116,29669.98,18748.8,241521
2021-01-01,KVCUK1,FBA,372,9889.99,8208.69,241521
2021-01-01,KVCUK1,AWH,93,2472.5,911.4,241521
2021-01-01,KYKKWV,AWH,60,3611.16,2940.0,46584
2021-01-01,KYKKWV,FBM,12,722.23,585.01,46584
2021-01-01,L91FRA,AWH,136,3998.4,2263.86,26571
2021-01-01,LHR5LZ,ADS,260,77580.72,37044.0,172704
2021-01-01,LHR5LZ,AWH,168,5172.05,2655.41,172704
2021-01-01,LHR5LZ,ADI,84,2586.02,,172704
2021-01-01,LKH688,ADS,15,,84.0,840
2021-01-01,LMYFTL,ADS,136,6947.7,4272.58,10030
2021-01-01,LMYFTL,ADI,17,868.46,574.06,10030
2021-01-01,LMYFTL,AWH,17,868.46,,10030
2021-01-01,LO65T4,AWH,990,41580.0,20790.0,284922
2021-01-01,LOZ57L,AWH,297,5058.21,2910.6,96525
2021-01-01,LR6CM3,AWH,192,7792.51,5376.0,55008
2021-01-01,LV89FN,FBM,133,3722.14,3014.93,3781
2021-01-01,LYKP9L,ADS,52,4221.67,3088.18,5590
2021-01-01,M1UHKH,AWH,98,3174.81,1436.48,588
2021-01-01,M4U899,FBM,209,8763.37,7098.33,36993
2021-01-01,M4U899,FBA,95,4063.15,3291.15,36993
2021-01-01,M6J494,ADS,190,4253.34,2074.8,5985
2021-01-01,M7SV5N,FBA,57,3159.28,2559.02,25479
2021-01-01,MJU0KH,AWH,392,13714.51,6530.72,108780
2021-01-01,MRC6CX,AWH,32,7167.55,3404.8,7296
2021-01-01,MRSB7D,ADS,64,5554.3,2240.0,18880
2021-01-01,MS0NS9,AWH,176,7884.8,3449.6,52224
2021-01-01,MS0NS9,ADS,48,2150.4,873.6,52224
2021-01-01,MWRVT7,ADS,144,6045.98,4032.0,129222
2021-01-01,MWRVT7,ADI,18,755.75,,129222
2021-01-01,MZTCMS,AWH,208,12154.69,3712.8,81856
2021-01-01,NHTPU7,ADS,34,2167.7,952.0,30362
2021-01-01,NLDP86,AWH,1729,72618.0,33888.4,513513
2021-01-01,NNM4MB,ADS,153,5995.46,2570.4,3162
2021-01-01,NP3CXM,ADS,152,12765.87,8935.47,13832
2021-01-01,NP3CXM,FBM,38,3191.47,2585.09,13832
2021-01-01,NPCIZC,AWH,36,767.09,277.2,31248
2021-01-01,NR0GM2,ADS,95,6116.67,5863.97,21926
2021-01-01,O3K8GP,ADS,608,66819.2,46816.0,38076
2021-01-01,O8KCMG,ADS,80,14561.12,9408.0,10480
2021-01-01,OYKZMV,ADS,426,31609.2,19287.58,13632
2021-01-01,PH5TRN,ADS,133,4839.34,2979.2,9690
2021-01-01,PH5TRN,ADI,19,691.33,,9690
2021-01-01,PH5TRN,AWH,19,691.33,984.2,9690
2021-01-01,PQD24Y,ADS,76,6382.94,3722.94,2888
2021-01-01,Q1KPKF,AWH,408,29125.49,12566.4,188904
2021-01-01,Q1KPKF,ADS,204,14562.74,5712.0,188904
2021-01-01,Q1KPKF,LAL,136,3427.2,2947.39,188904
2021-01-01,QJBAVK,AWH,294,9051.08,4733.4,174342
2021-01-01,QL15HY,AWH,240,11427.36,8232.0,23172
2021-01-01,QX669B,AWH,105,5586.0,1837.5,150030
2021-01-01,R1B226,ADS,45,1196.37,756.0,10785
2021-01-01,R1F3KU,ADS,170,17133.62,6545.0,52632
2021-01-01,R28JCY,AWH,48,1276.13,680.74,65280
2021-01-01,R3K35G,ADS,130,25478.18,9646.0,12662
2021-01-01,RHA8AA,AWH,270,11336.22,2264.22,102654
2021-01-01,RQ2G96,ADS,126,3349.84,1675.8,6912
2021-01-01,RT0Z1S,ADS,51,1998.49,928.2,5117
2021-01-01,RT0Z1S,AWH,34,1332.32,274.41,5117
2021-01-01,RYEMHT,AWH,255,8568.0,4641.0,112095
2021-01-01,RYEMHT,ADI,30,1008.0,,112095
2021-01-01,S14SRA,ADS,450,22673.7,14628.6,82650
2021-01-01,S3JSML,AWH,119,4663.13,2598.96,82450
2021-01-01,S3JSML,FBA,17,666.16,539.59,82450
2021-01-01,S3KM6D,AWH,276,23960.66,8500.8,97344
2021-01-01,S3KM6D,ADS,84,7292.38,2551.92,97344
2021-01-01,S3Z7PV,ADS,33,2032.8,1155.0,198
2021-01-01,SC13HN,FBA,36,1410.7,1142.66,9936
2021-01-01,SFN1EQ,FBM,190,5849.34,4737.97,4902
2021-01-01,SHA8AA,ADS,54,1851.44,566.24,23436
2021-01-01,SHZ5Y2,ADS,1672,114418.3,42134.4,116952
2021-01-01,SHZ5Y2,AWH,176,12044.03,4240.54,116952
2021-01-01,SHZ5Y2,ADI,88,6022.02,,116952
2021-01-01,SVXKJD,AWH,18,1831.28,1033.2,13572
2021-01-01,SYKDWG,AWH,36,2670.7,2217.6,15876
2021-01-01,SYKDWG,FBM,24,1780.46,1442.18,15876
2021-01-01,SYKDWG,ADS,12,890.23,736.01,15876
2021-01-01,T0L9TM,AWH,48,895.78,470.4,25632
2021-01-01,TGSLCJ,ADS,1892,45003.11,23177.0,250604
2021-01-01,TGSLCJ,ADI,344,8182.38,,250604
2021-01-01,THA8AA,AWH,162,8049.13,2494.8,238032
2021-01-01,TR3GMZ,ADS,80,3360.0,1848.0,30480
2021-01-01,TR3GMZ,AWH,80,3360.0,2016.0,30480
2021-01-01,TXSGZ5,AWH,512,10627.75,5196.8,101984
2021-01-01,UHA8AA,ADS,54,4019.65,1019.84,42552
2021-01-01,UJEVZV,AWH,48,2419.2,999.94,5888
2021-01-01,UKQ8XU,AWH,32,3012.8,1320.7,46992
2021-01-01,UPJIR1,ADS,84,1546.44,764.4,20628
2021-01-01,UPJIR1,ADI,12,220.92,100.8,20628
2021-01-01,UWEQYD,AWH,240,10752.0,5544.0,35130
2021-01-01,UYKM1M,ADS,117,21292.36,7371.0,10933
2021-01-01,V1KLV1,AWH,726,32514.64,13172.54,251460
2021-01-01,V1KLV1,ADS,132,5911.75,2395.01,251460
2021-01-01,V1KLV1,LAL,66,1016.4,874.1,251460
2021-01-01,V4KTTK,ADS,54,1473.44,1020.6,23544
2021-01-01,V4KTTK,AWH,18,491.15,352.8,23544
2021-01-01,V4KTTK,FBA,18,491.15,397.83,23544
2021-01-01,V8SEQG,AWH,1690,23636.34,14196.0,910416
2021-01-01,VHA8AA,AWH,270,17384.22,7102.62,43146
2021-01-01,VJ00JJ,AWH,1372,32634.39,22857.52,612108
2021-01-01,VJK56C,AWH,984,206626.22,52348.8,707742
2021-01-01,VJZPSX,FBM,95,4781.35,3872.89,26106
2021-01-01,VLMPCV,AWH,546,10548.72,5350.8,75894
2021-01-01,VMBQAA,ADS,220,8004.92,4004.0,181830
2021-01-01,VMJZXR,AWH,120,6382.32,4956.0,12825
2021-01-01,VQ78GS,ADS,90,3526.74,2394.0,21978
2021-01-01,VQQQH5,FBA,38,2622.23,2124.0,38418
2021-01-01,VXS4Z2,AWH,246,4907.7,3492.22,63632
2021-01-01,VYKBYK,ADS,288,22978.37,14837.76,22464
2021-01-01,VYKBYK,ADI,72,5744.59,,22464
2021-01-01,VYKBYK,AWH,72,5744.59,4032.0,22464
2021-01-01,W9BAAA,FBA,224,6268.86,5328.53,370440
2021-01-01,X2WL99,ADS,133,9773.64,6680.86,10754
2021-01-01,X3K31C,ADS,130,17290.0,5469.1,43797
2021-01-01,X3K31C,ADI,13,1729.0,,43797
2021-01-01,X640UQ,ADS,1900,23913.4,5320.0,7505
2021-01-01,XBD1N3,ADS,34,3141.12,2132.0,13362
2021-01-01,XCM3W1,ADS,225,9368.1,5355.0,7200
2021-01-01,XDYFFX,AWH,1701,18574.92,13073.89,205983
2021-01-01,XDYFFX,LAL,81,453.6,399.17,205983
2021-01-01,XL4P9Z,AWH,1274,32086.96,21403.2,169442
2021-01-01,XL7BBV,ADS,68,2521.85,1713.6,20553
2021-01-01,XL7BBV,ADI,17,630.46,,20553
2021-01-01,XNJWLX,ADS,228,12764.81,6384.0,42123
2021-01-01,XNJWLX,ADI,19,1063.73,492.1,42123
2021-01-01,XPHIGW,AWH,60,1445.64,714.0,5832
2021-01-01,XPHIGW,FBA,24,578.26,468.39,5832
2021-01-01,XRMNSM,FBM,80,5934.88,4866.6,5120
2021-01-01,XRS4DH,ADS,16,1854.27,1232.0,496
2021-01-01,XXBFAA,AWH,504,17632.94,13759.2,320544
2021-01-01,XZBC0W,ADS,51,10706.43,3398.64,25041
2021-01-01,XZBC0W,AWH,34,7137.62,2856.0,25041
2021-01-01,Y3KMCI,AWH,504,16221.74,6674.98,177312
2021-01-01,Y6HWKQ,AWH,656,21336.73,13776.0,410000
2021-01-01,YCJJRJ,AWH,315,6174.0,4410.0,93570
2021-01-01,YXSGGN,AWH,672,14572.99,11383.68,157152
2021-01-01,YXSGGN,FBA,32,693.95,575.98,157152
2021-01-01,Z4G4S2,ADS,209,10969.57,4228.07,38742
2021-01-01,Z4G4S2,AWH,22,1154.69,539.0,38742
2021-01-01,ZKMHR8,ADS,306,38556.0,11738.16,83844
2021-01-01,ZMP58F,FBM,209,8775.07,7107.81,9120
2021-01-01,ZQZPT9,ADS,18,2998.55,762.3,8172
2021-01-03,017SAD,ADS,75,3358.95,1660.05,1425
2021-01-03,089A0E,ADS,140,3704.4,2156.0,56460
2021-01-03,0FKFLA,AWH,885,36339.87,14868.0,427545
2021-01-03,0G8Z4M,AWH,51,784.69,357.0,2516
2021-01-03,0NFJ14,ADS,19,1063.73,744.53,18734
2021-01-03,13KMDL,AWH,636,44475.48,11486.16,158136
2021-01-03,17KYMH,ADS,276,16035.6,9466.8,203895
2021-01-03,17KYMH,FBM,138,8017.8,6895.31,203895
2021-01-03,1GURWB,AWH,17,344.86,119.0,5525
2021-01-03,1JKADT,AWH,260,48250.5,35869.57,978040
2021-01-03,1JKADT,ADI,196,3015.66,,978040
2021-01-03,1JKADT,LAL,98,1097.6,976.86,978040
2021-01-03,1WTQ7A,AWH,195,3273.27,2593.5,40995
2021-01-03,1XS4TA,AWH,615,9040.5,5854.8,74374
2021-01-03,23KW9S,FBM,73,3934.7,3423.19,8030
2021-01-03,2A4C,LAL,36,554.4,449.06,3024
2021-01-03,2F4S8M,ADS,57,11729.8,2952.6,41211
2021-01-03,2HF54F,ADS,840,38796.24,13406.4,285516
2021-01-03,33KM7A,AWH,264,10714.7,7022.4,206856
2021-01-03,33KM7A,ADI,84,3409.22,1527.62,206856
2021-01-03,3B92VR,ADS,38,5378.52,3298.4,21603
2021-01-03,3JT08X,AWH,588,14809.37,9796.08,233730
2021-01-03,3RQKGC,ADS,80,6718.88,3360.0,45936
2021-01-03,3XJ3LD,AWH,85,6841.31,5140.8,25364
2021-01-03,3XSG8S,AWH,32,671.55,268.8,37696
2021-01-03,42MZVU,ADS,85,4223.31,2939.3,24514
2021-01-03,44SQ3H,AWH,476,24316.94,16926.56,158168
2021-01-03,47KY2J,FBM,70,4370.8,3802.6,66360
2021-01-03,48CE59,AWH,1378,78016.85,13504.4,370344
2021-01-03,4HSDFL,AWH,495,11774.07,8801.1,187560
2021-01-03,4HYCQW,AWH,286,23623.6,7407.4,81840
2021-01-03,4JG1BP,FBM,80,894.88,724.85,31920
2021-01-03,4JRLXP,AWH,54,906.44,636.55,19008
2021-01-03,4OCITK,AWH,260,56199.53,32810.4,908610
2021-01-03,4OCITK,FBA,62,1040.73,863.81,908610
2021-01-03,4WBTEM,ADS,322,11265.49,8114.4,35926
2021-01-03,4YT2UF,AWH,368,14294.22,7985.6,41952
2021-01-03,51ZSU8,AWH,375,19540.5,8578.5,159750
2021-01-03,52BTEO,ADS,184,5149.42,3493.06,90988
2021-01-03,52BTEO,FBA,92,2574.71,2111.26,90988
2021-01-03,58CEBZ,AWH,561,7846.15,4712.4,270006
2021-01-03,5BMTKB,ADS,95,3348.94,2128.0,9462
2021-01-03,636Y8Y,AWH,33,877.34,508.2,9867
2021-01-03,67LPLP,AWH,260,115363.58,82432.0,1337496
2021-01-03,67LPLP,FBA,92,3605.11,3208.55,1337496
2021-01-03,6G5HUS,ADS,133,6766.51,3910.2,9329
2021-01-03,6HSD4J,AWH,882,43205.65,27659.52,377398
2021-01-03,6HZE4G,AWH,88,3758.83,2032.8,47058
2021-01-03,6HZE4G,ADS,55,2349.27,1193.5,47058
2021-01-03,6JRDWV,ADS,38,1595.47,1064.0,9880
2021-01-03,6JRDWV,FBA,19,797.73,646.16,9880
2021-01-03,6RA0AE,AWH,144,12497.18,9072.0,54816
2021-01-03,6RXJTU,AWH,32,4061.42,1980.16,17520
2021-01-03,6ZWDP6,AWH,255,29377.53,13780.2,146319
2021-01-03,73DZ92,ADS,187,8377.6,5112.95,49419
2021-01-03,7XL27C,AWH,391,70904.72,22443.4,61438
2021-01-03,7YC7M1,ADS,319,9552.77,4242.7,57156
2021-01-03,84K8NY,AWH,96,19007.52,6048.0,21072
2021-01-03,87Y9K0,ADS,54,906.44,604.8,12060
2021-01-03,8GZ501,AWH,51,784.69,357.0,2822
2021-01-03,8LCPHF,AWH,1183,46649.63,23130.74,193648
2021-01-03,8RK39T,ADS,19,1206.84,445.55,7068
2021-01-03,8SH1DW,ADS,64,2418.3,1644.16,44688
2021-01-03,8SH1DW,AWH,48,1813.73,1344.0,44688
2021-01-03,93W8TS,ADS,54,4988.84,2003.4,45432
2021-01-03,94U25Q,ADS,18,881.75,617.4,6444
2021-01-03,9LPCPF,AWH,90,3022.74,1890.0,65988
2021-01-03,9LPCPF,LAL,18,504.0,408.24,65988
2021-01-03,9O55HC,AWH,990,27664.56,13860.0,180576
2021-01-03,9VU695,AWH,190,4120.34,3354.26,133320
2021-01-03,A674SK,ADS,380,7974.68,3085.6,3230
2021-01-03,A9WS0A,AWH,395,7471.03,6636.0,389154
2021-01-03,AG2ZNE,LAL,17,1547.0,1253.07,2601
2021-01-03,AL67D0,FBM,38,2444.54,1980.08,38874
2021-01-03,B88A3K,AWH,120,2014.32,1008.0,42390
2021-01-03,BCLS4F,AWH,320,24257.71,11424.0,47920
2021-01-03,BFTBBT,AWH,272,9896.99,6092.8,61744
2021-01-03,BHD5Y9,ADS,765,60854.22,17028.9,265455
2021-01-03,BJ30D6,AWH,882,24683.65,14694.12,413168
2021-01-03,BJ30D6,FBA,98,2742.63,2440.94,413168
2021-01-03,BPKDGF,FBM,38,2659.47,2154.17,18924
2021-01-03,C3KMT3,AWH,60,12431.16,2520.0,53784
2021-01-03,CPKIH7,ADS,24,468.72,250.32,5100
2021-01-03,CPKIH7,FBA,24,468.72,379.66,5100
2021-01-03,CTSY1Z,AWH,119,2330.73,1390.87,8296
2021-01-03,CYU4FH,ADS,192,8870.4,6182.4,72288
2021-01-03,D93T,LAL,36,1310.4,1061.42,756
2021-01-03,DIHXP6,ADS,205,6311.13,2870.0,112422
2021-01-03,DLH4WS,ADS,20,3399.2,1232.0,28260
2021-01-03,DW35SV,ADS,19,7129.07,3135.34,15789
2021-01-03,DYK69P,AWH,24,1612.46,1344.0,31752
2021-01-03,DYK69P,FBM,12,806.23,653.05,31752
2021-01-03,E1JSV3,AWH,370,9479.4,3703.7,40552
2021-01-03,E3HYLQ,AWH,168,3760.85,1528.8,2184
2021-01-03,EHS5ZZ,ADS,1360,43582.56,24276.0,108715
2021-01-03,EHS5ZZ,FBA,255,8171.73,7191.12,108715
